X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-0.12031,-0.08755,7.8344154,-1.3076361,0
-0.12012,-0.08732,7.841278,-1.0893518,0
-0.12007,-0.08704,7.841278,-1.0893518,0
-0.11989,-0.0867,7.841278,-1.0893518,0
-0.11962,-0.08627,7.841278,-1.0893518,0
-0.11877,-0.08574,7.841278,-1.0893518,0
-0.11815,-0.08529,7.841278,-1.0893518,0
-0.11777,-0.08478,7.841278,-1.0893518,0
-0.11795,-0.08414,7.841278,-1.0893518,0
-0.11779,-0.08372,7.841278,-1.0893518,0
-0.11734,-0.08377,7.841278,-1.0893518,0
-0.11657,-0.08405,7.841278,-1.0893518,0
-0.11584,-0.08457,7.841278,-1.0893518,0
-0.11512,-0.08491,7.841278,-1.0893518,0
-0.11523,-0.08506,7.841278,-1.0893518,0
-0.1154,-0.08482,7.841278,-1.0893518,0
-0.11563,-0.08445,7.841278,-1.0893518,0
-0.11625,-0.08433,9.460747,-1.6671318,0
-0.11662,-0.08412,9.460747,-1.6671318,0
-0.11721,-0.08399,9.460747,-1.6671318,0
-0.11788,-0.08391,9.460747,-1.6671318,0
-0.11806,-0.08384,9.460747,-1.6671318,0
-0.11811,-0.08383,9.460747,-1.6671318,0
-0.11795,-0.08365,9.460747,-1.6671318,0
-0.11806,-0.08352,9.460747,-1.6671318,0
-0.11837,-0.08347,9.460747,-1.6671318,0
-0.11877,-0.08344,9.460747,-1.6671318,0
-0.11911,-0.08341,9.460747,-1.6671318,0
-0.11959,-0.0835,9.460747,-1.6671318,0
-0.11986,-0.0835,9.460747,-1.6671318,0
-0.12,-0.08346,9.460747,-1.6671318,0
-0.1198,-0.08332,9.460747,-1.6671318,0
-0.11982,-0.08317,10.476654,-2.780448,0
-0.11997,-0.08312,10.476654,-2.780448,0
-0.12022,-0.08298,10.476654,-2.780448,0
-0.12052,-0.08286,10.476654,-2.780448,0
-0.12056,-0.08282,10.476654,-2.780448,0
-0.12089,-0.08288,10.476654,-2.780448,0
-0.12097,-0.08295,10.476654,-2.780448,0
-0.12072,-0.08307,10.476654,-2.780448,0
-0.12083,-0.08305,10.476654,-2.780448,0
-0.12089,-0.08273,10.476654,-2.780448,0
-0.12105,-0.08216,10.476654,-2.780448,0
-0.12177,-0.08123,10.476654,-2.780448,0
-0.12205,-0.08062,10.476654,-2.780448,0
-0.12258,-0.08079,10.476654,-2.780448,0
-0.12284,-0.08159,8.989344,-1.8266444,0
-0.12292,-0.08303,8.989344,-1.8266444,0
-0.12329,-0.0845,8.989344,-1.8266444,0
-0.12371,-0.08543,8.989344,-1.8266444,0
-0.1244,-0.08559,8.989344,-1.8266444,0
-0.12455,-0.08507,8.989344,-1.8266444,0
-0.12444,-0.08432,8.989344,-1.8266444,0
-0.12456,-0.08334,8.989344,-1.8266444,0
-0.12472,-0.08201,8.989344,-1.8266444,0
-0.12516,-0.08081,8.989344,-1.8266444,0
-0.12526,-0.07998,8.989344,-1.8266444,0
-0.12543,-0.0795,8.989344,-1.8266444,0
-0.1257,-0.07932,8.989344,-1.8266444,0
-0.12599,-0.0792,8.989344,-1.8266444,0
-0.12674,-0.07906,8.989344,-1.8266444,0
-0.12728,-0.0788,8.989344,-1.8266444,0
-0.12773,-0.07835,8.989344,-1.8266444,0
-0.12778,-0.07784,9.43037,-1.7412726,0
