UABC_FIM_ICO_IA_2024-1_P3-1_TESTING
X_IMU,Y_IMU,Y_FR,Z_FR,Clase
-0.18736,-0.06958,-36.492397,-3.5126894,2
-0.18833,-0.0714,-36.492397,-3.5126894,2
-0.18913,-0.07308,-36.492397,-3.5126894,2
-0.18968,-0.07483,-36.492397,-3.5126894,2
-0.1898,-0.07656,-36.492397,-3.5126894,2
-0.18941,-0.07763,-36.492397,-3.5126894,2
-0.1899,-0.07855,-36.492397,-3.5126894,2
-0.19105,-0.07901,-36.492397,-3.5126894,2
-0.19115,-0.07919,-36.492397,-3.5126894,2
-0.19044,-0.07934,-36.492397,-3.5126894,2
-0.18904,-0.07945,-36.492397,-3.5126894,2
-0.18766,-0.07959,-36.492397,-3.5126894,2
-0.18677,-0.07962,-36.492397,-3.5126894,2
-0.18609,-0.07991,-36.492397,-3.5126894,2
-0.18568,-0.0805,-36.492397,-3.5126894,2
-0.18547,-0.08111,-36.492397,-3.5126894,2
-0.18526,-0.08152,-36.492397,-3.5126894,2
-0.18522,-0.08197,-36.492397,-3.5126894,2
-0.18509,-0.08241,-36.492397,-3.5126894,2
-0.18447,-0.0828,-36.492397,-3.5126894,2
-0.1836,-0.08308,-36.492397,-3.5126894,2
-0.18242,-0.08336,-36.492397,-3.5126894,2
-0.18108,-0.08379,-36.492397,-3.5126894,2
-0.1799,-0.08429,-36.492397,-3.5126894,2
-0.17868,-0.0846,-36.492397,-3.5126894,2
-0.17734,-0.0846,-36.492397,-3.5126894,2
-0.17608,-0.08464,-36.492397,-3.5126894,2
-0.1751,-0.08446,-36.492397,-3.5126894,2
-0.17412,-0.08436,-36.492397,-3.5126894,2
-0.17307,-0.08447,-37.75814,-2.026845,2
-0.17203,-0.08482,-37.75814,-2.026845,2
-0.17112,-0.08535,-37.75814,-2.026845,2
-0.17013,-0.08584,-37.75814,-2.026845,2
-0.16909,-0.08622,-37.75814,-2.026845,2
-0.16851,-0.08652,-37.75814,-2.026845,2
-0.16819,-0.08665,-37.75814,-2.026845,2
-0.16779,-0.08681,-37.75814,-2.026845,2
-0.16754,-0.08722,-37.75814,-2.026845,2
-0.16744,-0.08805,-37.75814,-2.026845,2
-0.16775,-0.08904,-37.75814,-2.026845,2
-0.16817,-0.08976,-37.75814,-2.026845,2
-0.16951,-0.09048,-37.75814,-2.026845,2
-0.17051,-0.09102,-37.75814,-2.026845,2
-0.17095,-0.09153,-37.75814,-2.026845,2
-0.17062,-0.09179,-37.037617,-3.716511,2
-0.16975,-0.09197,-37.037617,-3.716511,2
-0.16945,-0.09214,-37.037617,-3.716511,2
-0.16969,-0.09246,-37.037617,-3.716511,2
-0.17058,-0.09306,-37.037617,-3.716511,2
-0.17179,-0.09347,-37.037617,-3.716511,2
-0.17274,-0.09381,-37.037617,-3.716511,2
-0.17337,-0.09409,-37.037617,-3.716511,2
-0.17357,-0.09441,-37.037617,-3.716511,2
-0.17358,-0.09486,-37.037617,-3.716511,2
-0.17345,-0.09525,-37.037617,-3.716511,2
-0.17313,-0.0953,-37.037617,-3.716511,2
0.25127,-0.08764,18.776932,-8.321433,3
0.25061,-0.08607,18.776932,-8.321433,3
0.24918,-0.08443,18.776932,-8.321433,3
0.2473,-0.08303,18.776932,-8.321433,3
0.24542,-0.08202,18.776932,-8.321433,3
0.24339,-0.0812,18.776932,-8.321433,3
0.24175,-0.08023,18.776932,-8.321433,3
0.24014,-0.07923,18.776932,-8.321433,3
0.23847,-0.07851,18.776932,-8.321433,3
0.23615,-0.07816,18.776932,-8.321433,3
0.23377,-0.07788,18.776932,-8.321433,3
0.2314,-0.0776,18.776932,-8.321433,3
0.22875,-0.077,18.776932,-8.321433,3
0.22592,-0.07595,18.776932,-8.321433,3
0.2225,-0.07503,18.776932,-8.321433,3
0.21945,-0.07429,18.776932,-8.321433,3
0.21694,-0.07382,18.776932,-8.321433,3
0.21465,-0.07352,18.776932,-8.321433,3
0.21261,-0.0734,18.776932,-8.321433,3
